,PC1,PC2,PC3,PC4,PC5,PC6
age,0.16950509994015656,-0.27631556160846515,-0.012206415445019653,0.08976210686587129,-0.11277005377329409,0.9018580282856289
gender,0.3110682319442503,0.4587254619401335,0.018744683242371545,-0.1500609269822106,0.03559405519440435,0.2526208378926898
height,0.2895610608968429,0.43660604196091735,-0.0338620698068463,-0.42969183742741673,0.12759501567668277,0.09286872906557296
weight,0.40031794243021546,0.03558626629728493,-0.07549427543765617,-0.3514306844426853,0.1032614139509534,-0.17039203451878304
ap_hi,0.46033270556735106,-0.27191622692709766,-0.34855184998577743,0.16537019235890066,-0.01408311278481428,-0.1151755498004088
ap_lo,0.453631213093958,-0.24630507956436232,-0.3698098454839609,0.16346629702620136,-0.010310232109202922,-0.1796610552237971
cholesterol,0.2727128810719637,-0.3158742069881443,0.5231447327988693,-0.07009245117359124,0.03111783758690745,-0.0629862559611773
gluc,0.2114357124681781,-0.26285652663333686,0.6005318888727138,-0.18437427170653145,0.03420372412246844,-0.09359820457431196
smoke,0.23412951171944602,0.3835157127682251,0.20836209452054946,0.405613019349867,-0.1494000598009313,0.03590024073544596
alco,0.19703126544314783,0.265330223287636,0.2333884374044068,0.5532873436807956,-0.2083690764784758,-0.13783437317340047
active,0.0013084389266670529,0.01924366143585478,0.04692563026744836,0.31250875273831336,0.9438705796650841,0.08135248444260443
